observation_date,CPIAUCSL_PCH
2009-02-01,0.36427
2009-03-01,-0.09873
2009-04-01,0.10071
2009-05-01,0.14715
2009-06-01,0.82996
2009-07-01,-0.02980
2009-08-01,0.33485
2009-09-01,0.19309
2009-10-01,0.30019
2009-11-01,0.33486
2009-12-01,0.05202
2010-01-01,0.06487
2010-02-01,-0.09518
2010-03-01,0.03314
2010-04-01,0.02300
2010-05-01,-0.05198
2010-06-01,-0.04188
2010-07-01,0.18693
2010-08-01,0.14614
2010-09-01,0.16152
2010-10-01,0.34818
2010-11-01,0.25338
2010-12-01,0.40166
2011-01-01,0.32430
2011-02-01,0.32145
2011-03-01,0.51735
2011-04-01,0.46941
2011-05-01,0.31817
2011-06-01,0.00000
2011-07-01,0.26200
2011-08-01,0.31545
2011-09-01,0.21715
2011-10-01,0.06752
2011-11-01,0.18479
2011-12-01,0.02377
2012-01-01,0.27242
2012-02-01,0.21374
2012-03-01,0.20935
2012-04-01,0.16608
2012-05-01,-0.20682
2012-06-01,-0.08264
2012-07-01,0.02888
2012-08-01,0.58095
2012-09-01,0.47713
2012-10-01,0.26968
2012-11-01,-0.16793
2012-12-01,-0.01211
2013-01-01,0.19808
2013-02-01,0.54299
2013-03-01,-0.28119
2013-04-01,-0.20880
2013-05-01,0.04142
2013-06-01,0.23804
2013-07-01,0.19575
2013-08-01,0.23873
2013-09-01,0.03769
2013-10-01,0.05352
2013-11-01,0.18445
2013-12-01,0.26442
2014-01-01,0.24242
2014-02-01,0.11008
2014-03-01,0.20421
2014-04-01,0.18642
2014-05-01,0.19030
2014-06-01,0.13211
2014-07-01,0.11255
2014-08-01,-0.01600
2014-09-01,0.00716
2014-10-01,-0.01979
2014-11-01,-0.18827
2014-12-01,-0.30846
2015-01-01,-0.63703
2015-02-01,0.25346
2015-03-01,0.26940
2015-04-01,0.10425
2015-05-01,0.32977
2015-06-01,0.27679
2015-07-01,0.15863
2015-08-01,-0.00042
2015-09-01,-0.22476
2015-10-01,0.09895
2015-11-01,0.11946
2015-12-01,-0.10756
2016-01-01,-0.04584
2016-02-01,-0.13297
2016-03-01,0.31348
2016-04-01,0.38306
2016-05-01,0.23641
2016-06-01,0.27760
2016-07-01,-0.05037
2016-08-01,0.18492
2016-09-01,0.26232
2016-10-01,0.23427
2016-11-01,0.11789
2016-12-01,0.25245
2017-01-01,0.40431
2017-02-01,0.15927
2017-03-01,-0.04672
2017-04-01,0.12342
2017-05-01,-0.07740
2017-06-01,0.06516
2017-07-01,0.03276
2017-08-01,0.38486
2017-09-01,0.51064
2017-10-01,0.07751
2017-11-01,0.26680
2017-12-01,0.21069
2018-01-01,0.42533
2018-02-01,0.26923
2018-03-01,0.01924
2018-04-01,0.26044
2018-05-01,0.22579
2018-06-01,0.09011
2018-07-01,0.07808
2018-08-01,0.17873
2018-09-01,0.20623
2018-10-01,0.23396
2018-11-01,-0.07042
2018-12-01,0.06849
2019-01-01,-0.08150
2019-02-01,0.30013
2019-03-01,0.37818
2019-04-01,0.37597
2019-05-01,0.02468
2019-06-01,-0.03251
2019-07-01,0.23079
2019-08-01,0.09148
2019-09-01,0.15388
2019-10-01,0.28273
2019-11-01,0.28154
2019-12-01,0.29122
2020-01-01,0.19217
2020-02-01,0.04747
2020-03-01,-0.45284
2020-04-01,-0.79201
2020-05-01,-0.08983
2020-06-01,0.48475
2020-07-01,0.50964
2020-08-01,0.37313
2020-09-01,0.26261
2020-10-01,0.12385
2020-11-01,0.22741
2020-12-01,0.43463
2021-01-01,0.22668
2021-02-01,0.35562
2021-03-01,0.48336
2021-04-01,0.67133
2021-05-01,0.66723
2021-06-01,0.85915
2021-07-01,0.46360
2021-08-01,0.28938
2021-09-01,0.43629
2021-10-01,0.94400
2021-11-01,0.83030
2021-12-01,0.71084
2022-01-01,0.61822
2022-02-01,0.70184
2022-03-01,1.03400
2022-04-01,0.38787
2022-05-01,0.94150
2022-06-01,1.29523
2022-07-01,-0.04473
2022-08-01,0.07527
2022-09-01,0.42655
2022-10-01,0.52560
2022-11-01,0.24465
2022-12-01,0.03348
2023-01-01,0.55152
2023-02-01,0.33948
2023-03-01,0.05539
2023-04-01,0.40279
2023-05-01,0.15123
2023-06-01,0.25815
2023-07-01,0.16968
2023-08-01,0.49998
2023-09-01,0.40374
2023-10-01,0.09077
2023-11-01,0.14107
2023-12-01,0.21033
2024-01-01,0.34301
2024-02-01,0.39639
2024-03-01,0.34885
2024-04-01,0.29125
2024-05-01,0.03961
2024-06-01,-0.00287
2024-07-01,0.13892
2024-08-01,0.18019
2024-09-01,0.22920
2024-10-01,0.22646
2024-11-01,0.28045
2024-12-01,0.36467
